Invoice/Item Number,Date,Volume Sold (Liters),Volume Sold (Gallons)
S29163400007,11/18/2015,4.8,1.27
S23620900131,01/21/2015,1.5,0.4
S26009000172,06/03/2015,2.25,0.59
S25160300093,04/20/2015,0.38,0.1
S26199400113,06/15/2015,2.25,0.59
S25445100007,05/05/2015,10.5,2.77
S26441000106,06/26/2015,2.25,0.59
S24163700023,02/23/2015,3,0.79
S25918700029,06/01/2015,1,0.26
S26674700070,07/09/2015,9,2.38
S25204800030,04/22/2015,9,2.38
S27200600035,08/06/2015,0.5,0.13
S25763900049,05/20/2015,9,2.38
S29318400064,11/30/2015,12,3.17
S23425700110,01/12/2015,2.25,0.59
S23674400030,01/26/2015,4.5,1.19
S26825500012,07/20/2015,9,2.38
S25708500107,05/18/2015,4.5,1.19
S27370200093,08/17/2015,1.5,0.4
S27559100047,08/26/2015,27,7.13
S25339600036,04/28/2015,2.25,0.59
S29220400135,11/20/2015,0.5,0.13
S25572800049,05/12/2015,9,2.38
S24449700128,03/10/2015,0.5,0.13
S26736200025,07/14/2015,12,3.17
S26811800037,07/16/2015,0.75,0.2
S23311800196,01/05/2015,3,0.79
S26011000149,06/03/2015,3.5,0.92
S27248800020,08/11/2015,5.25,1.39
S27362700174,08/17/2015,2.25,0.59
S23367800099,01/07/2015,3,0.79
S23499300177,01/14/2015,2.25,0.59
S23868700224,02/04/2015,1.5,0.4
S26321700034,06/22/2015,18,4.76
S24563800043,03/17/2015,1.5,0.4
S26508800188,06/30/2015,1.5,0.4
S28002100123,09/21/2015,2.25,0.59
S26304800065,06/22/2015,4.5,1.19
S27626000181,08/31/2015,1.5,0.4
S26822900077,07/20/2015,2.25,0.59
S27400000118,08/18/2015,0.75,0.2
S25762200015,05/20/2015,9,2.38
S27863100041,09/14/2015,10.5,2.77
S29066500114,11/16/2015,1.5,0.4
S26507100140,06/30/2015,2.25,0.59
S24500600026,03/12/2015,0.5,0.13
S26914400066,07/22/2015,1,0.26
S28997600082,11/10/2015,3,0.79
S24848500221,04/01/2015,4.5,1.19
S28109400074,09/24/2015,0.75,0.2
S25629000186,05/13/2015,1.5,0.4
S25426600029,05/04/2015,9,2.38
S27530600001,08/25/2015,9,2.38
S28956400071,11/09/2015,2.25,0.59
S24039200016,02/16/2015,18,4.76
S28278400092,10/05/2015,1.5,0.4
S27906300017,09/16/2015,2.25,0.59
S26109000039,06/09/2015,0.75,0.2
S29360700032,11/30/2015,9,2.38
S24964300054,04/08/2015,2.25,0.59
S25938500088,06/01/2015,2.25,0.59
S24779000103,03/30/2015,2.25,0.59
S26752800034,07/14/2015,0.75,0.2
S25402800154,04/30/2015,0.75,0.2
S28580200076,10/20/2015,2.25,0.59
S26129000010,06/10/2015,2.25,0.59
S25262700062,04/23/2015,3,0.79
S27083600028,08/03/2015,9,2.38
S26134400043,06/10/2015,4.5,1.19
S28956400096,11/09/2015,4.5,1.19
S26315200068,06/22/2015,2.25,0.59
S29142300140,11/18/2015,0.5,0.13
S27236800135,08/10/2015,0.75,0.2
S26980900032,07/27/2015,12,3.17
S24725800111,03/25/2015,1,0.26
S23450000079,01/13/2015,2.25,0.59
S25631700012,05/13/2015,0.75,0.2
S24945400084,04/07/2015,9,2.38
S24278200002,03/02/2015,4.8,1.27
S29099400126,11/16/2015,10.5,2.77
S25652800046,05/14/2015,2.25,0.59
S25699300196,05/18/2015,4.5,1.19
S24421000166,03/09/2015,0.75,0.2
S28019000039,09/21/2015,9,2.38
S27473200049,08/24/2015,9,2.38
S27944000016,09/16/2015,3,0.79
S27801000068,09/09/2015,2.25,0.59
S25703900007,05/18/2015,54,14.27
S26013400026,06/03/2015,0.75,0.2
S27085100014,08/03/2015,9,2.38
S26270600178,06/17/2015,1.5,0.4
S25501300027,05/07/2015,1.5,0.4
S25248800010,04/23/2015,0.5,0.13
S23885400071,02/05/2015,2.25,0.59
S26244400046,06/17/2015,9,2.38
S23701300004,01/27/2015,9,2.38
S27410500061,08/19/2015,9,2.38
S27971100012,09/17/2015,4.5,1.19
S25898000087,05/28/2015,1.5,0.4
S26377400091,06/23/2015,9,2.38
S27349500175,08/17/2015,10.5,2.77
S29294300032,11/24/2015,1,0.26
S24753300082,03/26/2015,1.75,0.46
S24785900044,03/30/2015,10.5,2.77
S24945400077,04/07/2015,9,2.38
S27768200115,09/08/2015,2.25,0.59
S25980900008,06/02/2015,4.5,1.19
S24643000064,03/23/2015,9,2.38
S29163900040,11/18/2015,3.5,0.92
S24629200086,03/19/2015,0.75,0.2
S25625700102,05/13/2015,1,0.26
S24134400058,02/19/2015,3,0.79
S23660500021,01/26/2015,9,2.38
S28084100037,09/23/2015,10.5,2.77
S27634100005,08/31/2015,1.5,0.4
S26888800053,07/21/2015,9,2.38
S24962900027,04/08/2015,18,4.76
S26974800080,07/27/2015,10.5,2.77
S28342500006,10/07/2015,3.75,0.99
S25244900009,04/23/2015,9,2.38
S24384500079,03/05/2015,0.75,0.2
S27149400151,08/04/2015,2.25,0.59
S23469400008,01/13/2015,2.25,0.59
S23992900102,02/11/2015,1,0.26
S28066500122,09/22/2015,1.5,0.4
S28522400022,10/19/2015,1.75,0.46
S29247100036,11/21/2015,9,2.38
S24023000011,02/12/2015,10.5,2.77
S27204800056,08/10/2015,12,3.17
S24060200106,02/16/2015,3,0.79
S24047600007,02/16/2015,9,2.38
S24962500037,04/08/2015,1.5,0.4
S23674400027,01/26/2015,9,2.38
S29215500207,11/20/2015,3,0.79
S24468700007,03/11/2015,9,2.38
S26584000044,07/06/2015,6,1.59
S26877200058,07/21/2015,9,2.38
S28291500017,10/08/2015,9,2.38
S24499600029,03/12/2015,1.5,0.4
S24173000046,02/23/2015,1,0.26
S23985700009,02/11/2015,10.5,2.77
S27287500007,08/12/2015,4.5,1.19
S27829200011,09/10/2015,3,0.79
S23381600028,01/08/2015,12,3.17
S23518500039,01/15/2015,12,3.17
S25677000012,05/18/2015,9,2.38
S25152600030,04/20/2015,4.5,1.19
S25571300041,05/11/2015,0.6,0.16
S24477000063,03/11/2015,24,6.34
S23471900017,01/15/2015,1.5,0.4
S25820800021,06/01/2015,9,2.38
S24413300061,03/09/2015,6,1.59
S26460600033,06/29/2015,1.12,0.3
S27170000025,08/05/2015,5.25,1.39
S28802400131,11/02/2015,4,1.06
S29004400037,11/11/2015,9,2.38
S24861800075,04/02/2015,0.5,0.13
S25766800018,05/21/2015,10.5,2.77
S27924200052,09/16/2015,9,2.38
S28110700052,09/24/2015,3,0.79
S26134400073,06/10/2015,4.5,1.19
S23852300043,02/05/2015,4.5,1.19
S27739000093,09/04/2015,1.5,0.4
S28878000024,11/05/2015,1.5,0.4
S25833900105,05/26/2015,0.8,0.21
S25719700032,05/19/2015,2.25,0.59
S23302300083,01/05/2015,2.25,0.59
S23296600001,01/05/2015,4.5,1.19
S25071300012,04/14/2015,0.75,0.2
S27953500051,09/16/2015,3,0.79
S24905100026,04/06/2015,3,0.79
S26927800053,07/23/2015,0.75,0.2
S29345400214,11/30/2015,1.5,0.4
S25873900223,05/27/2015,3,0.79
S24142200029,02/19/2015,9,2.38
S25376300181,04/29/2015,4.5,1.19
S26012600032,06/03/2015,12,3.17
S26712800107,07/13/2015,1.5,0.4
S23997700174,02/11/2015,0.6,0.16
S24949500025,04/08/2015,1.5,0.4
S23782500024,02/02/2015,9,2.38
S23302300030,01/05/2015,9,2.38
S27583300059,08/27/2015,1.5,0.4
S27816300014,09/09/2015,3.5,0.92
S24373900029,03/05/2015,0.5,0.13
S25589400020,05/12/2015,10.5,2.77
S24290900121,03/02/2015,3,0.79
S27653600005,09/01/2015,4.5,1.19
S27010000070,07/28/2015,1.5,0.4
S26399500040,06/24/2015,2.25,0.59
S27013300015,07/28/2015,9,2.38
S28316400055,10/07/2015,9,2.38
S27192100025,08/06/2015,0.75,0.2
S27956100019,09/16/2015,10.5,2.77
S25392500030,04/30/2015,9,2.38
S26457100248,06/29/2015,12,3.17
S23612600033,01/21/2015,9,2.38
S26767700008,07/15/2015,0.5,0.13
S26592700111,07/06/2015,1.5,0.4
S25079500144,04/14/2015,2.25,0.59
S23585600019,01/20/2015,9,2.38
S28389000033,10/12/2015,9,2.38
S23319900024,01/05/2015,9,2.38
S24434600025,03/10/2015,1.5,0.4
S23477000041,01/13/2015,9,2.38
S28651800062,10/26/2015,9,2.38
S26781900079,07/15/2015,9,2.38
S28751600055,10/29/2015,2.25,0.59
S24657100023,03/23/2015,0.75,0.2
S28363500121,10/08/2015,4.5,1.19
S26428500008,07/06/2015,14.4,3.8
S27719900027,09/04/2015,10.5,2.77
S25097400116,04/15/2015,0.5,0.13
S25311000097,04/27/2015,0.5,0.13
S29175400014,11/19/2015,4.8,1.27
S26297900059,06/18/2015,0.5,0.13
S27892100006,09/15/2015,4.5,1.19
S26268300037,06/17/2015,3,0.79
S27585200132,08/27/2015,0.5,0.13
S25387800057,04/30/2015,1,0.26
S23653600038,01/26/2015,12,3.17
S26011000020,06/03/2015,12,3.17
S27862400038,09/14/2015,9,2.38
S28594500027,10/21/2015,4.5,1.19
S26172000030,06/15/2015,36,9.51
S26581900013,07/06/2015,0.75,0.2
S28628800074,10/22/2015,3,0.79
S24576100038,03/17/2015,9,2.38
S25872300001,05/28/2015,9,2.38
S23285400148,01/05/2015,9,2.38
S28004000009,09/21/2015,9,2.38
S24341000003,03/04/2015,9,2.38
S25571300042,05/11/2015,0.75,0.2
S27782600041,09/09/2015,2.25,0.59
S28338100026,10/07/2015,1.5,0.4
S27363300160,08/17/2015,2.25,0.59
S27084900041,08/03/2015,0.75,0.2
S25929600142,06/01/2015,0.75,0.2
S23793400006,02/02/2015,9,2.38
S25675300094,05/18/2015,3,0.79
S26457100101,06/29/2015,0.5,0.13
S28983800013,11/11/2015,9,2.38
S27557600082,08/26/2015,0.75,0.2
S23970600043,02/12/2015,1.5,0.4
S29001200039,11/10/2015,9,2.38
S25560200094,05/11/2015,1.5,0.4
S27287500210,08/12/2015,1.5,0.4
S26837700083,07/20/2015,0.38,0.1
S28980000047,11/11/2015,4.8,1.27
S25914100079,06/01/2015,2.25,0.59
S27884900181,09/14/2015,2,0.53
S28191000194,09/29/2015,5.25,1.39
S29247100041,11/21/2015,9,2.38
S23903600042,02/09/2015,9,2.38
S28604400045,10/21/2015,2.25,0.59
S28522000014,10/20/2015,18,4.76
S27953500016,09/16/2015,0.5,0.13
S26962500034,07/27/2015,0.75,0.2
S24207000018,02/24/2015,2.25,0.59
S26822900088,07/20/2015,10.5,2.77
S25231300033,04/22/2015,12,3.17
S24385300110,03/05/2015,4.5,1.19
S23868700097,02/04/2015,10.5,2.77
S28883600005,11/05/2015,9,2.38
S25528100072,05/07/2015,2.25,0.59
S27362700114,08/17/2015,5,1.32
S23927700030,02/09/2015,9,2.38
S23579100065,01/20/2015,9,2.38
S27254800055,08/11/2015,3,0.79
S26075000017,06/08/2015,3,0.79
S27791400015,09/08/2015,9,2.38
S26328300091,06/22/2015,4,1.06
S27725600068,09/04/2015,1.5,0.4
S25012800036,04/13/2015,9,2.38
S26111800075,06/09/2015,12,3.17
S29353700119,11/30/2015,4.5,1.19
S27666500035,09/01/2015,9,2.38
S26335800133,06/22/2015,12,3.17
S25568000147,05/11/2015,1.5,0.4
S24016100042,02/12/2015,4.8,1.27
S27041000206,07/29/2015,12,3.17
S25175400068,04/20/2015,3,0.79
S25905200164,05/28/2015,3,0.79
S24134400050,02/19/2015,2.25,0.59
S28528800054,10/19/2015,0.5,0.13
S25422000038,05/04/2015,0.75,0.2
S25625600048,05/13/2015,1.5,0.4
S27324100105,08/13/2015,3,0.79
S26137700044,06/10/2015,0.75,0.2
S23903600002,02/09/2015,24,6.34
S23707000056,01/27/2015,1.5,0.4
S26371000033,06/23/2015,9,2.38
S27557600045,08/26/2015,1.5,0.4
S23593900208,01/20/2015,0.75,0.2
S28960800014,11/09/2015,0.5,0.13
S25877700082,05/27/2015,2.25,0.59
S23684100186,01/26/2015,1.5,0.4
S27570300028,08/27/2015,10.5,2.77
S24665600085,03/23/2015,9,2.38
S27080200097,08/03/2015,2.25,0.59
S23331900043,01/07/2015,0.75,0.2
S29185900112,11/19/2015,4.5,1.19
S27956500019,09/16/2015,9,2.38
S26636100025,07/08/2015,10.5,2.77
S27435600018,08/20/2015,1.5,0.4
S25644000053,05/14/2015,3,0.79
S27988100048,09/23/2015,12,3.17
S27556600109,08/26/2015,1.5,0.4
S25544400064,05/11/2015,1.5,0.4
S24247600019,02/26/2015,3.5,0.92
S28018300080,09/21/2015,2.25,0.59
S24665900045,03/23/2015,2.25,0.59
S24057100101,02/16/2015,1.5,0.4
S24426200055,03/09/2015,2.25,0.59
S28378300073,10/12/2015,1.5,0.4
S25764700022,05/20/2015,2.25,0.59
S27863100028,09/14/2015,9,2.38
S25416100030,05/04/2015,9,2.38
S24204900014,02/24/2015,1.5,0.4
S25316400243,04/27/2015,27,7.13
S28543800055,10/19/2015,1.5,0.4
S28947700059,11/09/2015,1.5,0.4
S25914100133,06/01/2015,2.25,0.59
S29112800009,11/18/2015,9,2.38
S28258400027,10/05/2015,10.5,2.77
S27833500067,09/14/2015,2.25,0.59
S26373000061,06/24/2015,3,0.79
S23661300059,01/26/2015,0.5,0.13
S25061900075,04/14/2015,1.75,0.46
S26908100049,07/22/2015,12,3.17
S27324100103,08/13/2015,4.5,1.19
S26963700022,07/27/2015,9,2.38
S26314300016,06/22/2015,57.6,15.22
S23381000020,01/08/2015,0.8,0.21
S26524700007,07/01/2015,9,2.38
S24979100028,04/09/2015,9,2.38
S28034300090,09/21/2015,1.5,0.4
S26798600029,07/16/2015,9,2.38
S27785700055,09/08/2015,6,1.59
S24892600007,04/06/2015,9,2.38
S25225900024,04/23/2015,36,9.51
S26025800027,06/04/2015,9,2.38
S23971900076,02/10/2015,1.5,0.4
S27524200002,08/25/2015,9,2.38
S28238800162,10/01/2015,1.5,0.4
S28565100010,10/20/2015,4.5,1.19
S25175400062,04/20/2015,1.5,0.4
S29096400010,11/17/2015,9,2.38
S28836300063,11/03/2015,1.5,0.4
S27852900024,09/17/2015,12,3.17
S29247200087,11/23/2015,2.25,0.59
S24096600156,02/17/2015,1.5,0.4
S26581100055,07/06/2015,0.75,0.2
S24665900027,03/23/2015,9,2.38
S28678800127,10/26/2015,2.25,0.59
S28238800156,10/01/2015,0.75,0.2
S27027600012,07/29/2015,10.5,2.77
S24583900135,03/17/2015,1.5,0.4
S25299700082,04/27/2015,1.5,0.4
S23763600019,01/29/2015,9,2.38
S25799700010,05/22/2015,2.25,0.59
S24421000127,03/09/2015,9,2.38
S29210700065,11/20/2015,12,3.17
S27310500025,08/13/2015,9,2.38
S24541700026,03/16/2015,12,3.17
S27035100025,07/29/2015,3,0.79
S24962900007,04/08/2015,45,11.89
S26661900007,07/09/2015,12,3.17
S26268500011,06/17/2015,12,3.17
S25762000018,05/20/2015,0.5,0.13
S25625700100,05/13/2015,1,0.26
S27737100029,09/04/2015,9.6,2.54
S27001400023,07/29/2015,9,2.38
S28789200015,11/02/2015,4.5,1.19
S26286300072,06/18/2015,3,0.79
S25938500117,06/01/2015,2.25,0.59
S26275400086,06/18/2015,18,4.76
S24549100136,03/16/2015,1.5,0.4
S26393400021,06/25/2015,3,0.79
S28476500071,10/15/2015,0.75,0.2
S25375100131,04/29/2015,4.5,1.19
S23433100144,01/12/2015,4.5,1.19
S24141400123,02/19/2015,3,0.79
S29342200168,11/30/2015,9,2.38
S24097800035,02/18/2015,3,0.79
S23543900016,01/16/2015,9,2.38
S25507800019,05/07/2015,9,2.38
S26377400057,06/23/2015,2.25,0.59
S28793400032,11/02/2015,1.5,0.4
S25145300037,04/20/2015,9,2.38
S24475800118,03/11/2015,3,0.79
S29216900086,11/20/2015,1.5,0.4
S25154800024,04/20/2015,4.5,1.19
S26335800191,06/22/2015,1.5,0.4
S26329000148,06/22/2015,9,2.38
S26059700070,06/08/2015,3,0.79
S25485900008,05/06/2015,9,2.38
S25951600021,06/01/2015,9,2.38
S24398300075,03/09/2015,2.25,0.59
S25376300187,04/29/2015,4.5,1.19
S28739300012,10/28/2015,9.6,2.54
S25520300001,05/07/2015,3,0.79
S28234500010,10/01/2015,9,2.38
S28918500037,11/09/2015,9,2.38
S26137300038,06/10/2015,9,2.38
S24010600017,02/12/2015,3,0.79
S28331800294,10/07/2015,3,0.79
S28087700076,09/24/2015,2.25,0.59
S24962900006,04/08/2015,10.5,2.77
S25514500169,05/07/2015,1.5,0.4
S28412700130,10/12/2015,1.5,0.4
S23822100100,02/03/2015,0.75,0.2
S25634300034,05/13/2015,0.75,0.2
S27659200011,09/02/2015,9,2.38
S28557100019,10/20/2015,2.25,0.59
S23827800058,02/03/2015,21,5.55
S27080200096,08/03/2015,1.5,0.4
S24819900074,04/01/2015,2.25,0.59
S25097400101,04/15/2015,2.25,0.59
S25546900023,05/11/2015,9,2.38
S27944000125,09/16/2015,3,0.79
S23940200038,02/09/2015,9,2.38
S23971900100,02/10/2015,2.25,0.59
S29123000064,11/17/2015,2.25,0.59
S24686000070,03/24/2015,0.38,0.1
S29160200059,11/19/2015,9,2.38
S26006400017,06/03/2015,9,2.38
S27426000050,08/20/2015,3,0.79
S24916900015,04/06/2015,9,2.38
S25038600070,04/13/2015,2.25,0.59
S27485600098,08/24/2015,9,2.38
S23396600057,01/08/2015,1.5,0.4
S26163800027,06/15/2015,12,3.17
S23891500005,02/05/2015,9,2.38
S28866600044,11/04/2015,3,0.79
S28431600047,10/13/2015,0.75,0.2
S23938700129,02/09/2015,2.25,0.59
S24650900040,03/23/2015,0.75,0.2
S25257500027,04/23/2015,9,2.38
S26288300008,06/18/2015,63,16.64
S28331800247,10/07/2015,9,2.38
S24288100071,03/02/2015,3,0.79
S25504100123,05/06/2015,3,0.79
S23698500095,01/27/2015,1.5,0.4
S26172100015,06/15/2015,36,9.51
S27390800075,08/18/2015,0.38,0.1
S24000600005,02/12/2015,9,2.38
S24594400014,03/18/2015,1.88,0.5
S26973200006,07/27/2015,9,2.38
S28367900081,10/08/2015,9,2.38
S24348500029,03/04/2015,9,2.38
S27630100012,08/31/2015,1,0.26
S26150500032,06/11/2015,12,3.17
S25225100014,04/22/2015,1,0.26
S25504100004,05/06/2015,31.5,8.32
S25228500016,04/22/2015,9,2.38
S28274900032,10/05/2015,4.8,1.27
S28242100037,10/05/2015,12,3.17
S24821000167,03/31/2015,3,0.79
S26732700054,07/14/2015,1.5,0.4
S25506500009,05/07/2015,0.8,0.21
S23891500020,02/05/2015,1.5,0.4
S24475100029,03/12/2015,2.25,0.59
S25544400101,05/11/2015,1.5,0.4
S25547100049,05/11/2015,9,2.38
S27362700116,08/17/2015,3,0.79
S26192100044,06/15/2015,10.5,2.77
S28565100015,10/20/2015,4.5,1.19
S27960500033,09/17/2015,1,0.26
S29182900139,11/19/2015,1.5,0.4
S27927600002,09/15/2015,9,2.38
S24790300012,03/30/2015,9,2.38
S24717000005,03/25/2015,3,0.79
S24346500046,03/05/2015,9.6,2.54
S25145900014,04/21/2015,9,2.38
S25708500014,05/18/2015,9,2.38
S29006100004,11/11/2015,12,3.17
S27314200015,08/13/2015,18,4.76
S25224600031,04/22/2015,2.25,0.59
S25069700043,04/14/2015,1.5,0.4
S25169200124,04/20/2015,5.25,1.39
S27582600140,08/27/2015,0.5,0.13
S27889300115,09/14/2015,3.75,0.99
S23588700009,01/20/2015,2.25,0.59
S24583200041,03/18/2015,9,2.38
S25467600013,05/05/2015,9,2.38
S27485600093,08/24/2015,0.6,0.16
S25479500209,05/05/2015,0.5,0.13
S23422000040,01/12/2015,1.5,0.4
S23365700010,01/07/2015,18,4.76
S23684100247,01/26/2015,1.5,0.4
S25045900059,04/14/2015,12,3.17
S24670100109,03/23/2015,4.5,1.19
S27530600141,08/25/2015,1.5,0.4
S24633400007,03/24/2015,9,2.38
S29250000104,11/21/2015,1.12,0.3
S26927800064,07/23/2015,1.5,0.4
S28953900091,11/09/2015,2.25,0.59
S26937800101,07/23/2015,1.5,0.4
S24413300086,03/09/2015,4.5,1.19
S28367900064,10/08/2015,0.75,0.2
S27388700005,08/18/2015,3,0.79
S24745200091,03/26/2015,3,0.79
S26247200074,06/16/2015,10.5,2.77
S25719000020,05/19/2015,2.25,0.59
S25351500100,04/28/2015,36,9.51
S25380500014,04/30/2015,9,2.38
S25169200127,04/20/2015,5.25,1.39
S26247600003,06/16/2015,6,1.59
S24687000029,03/24/2015,9,2.38
S26077300131,06/08/2015,2.25,0.59
S26563900067,07/06/2015,3,0.79
S27968600050,09/17/2015,0.5,0.13
S26914400153,07/22/2015,0.75,0.2
S25763900143,05/20/2015,1,0.26
S26594400048,07/08/2015,9,2.38
S23684100260,01/26/2015,3,0.79
S28518800010,10/19/2015,60,15.85
S27493100099,08/24/2015,9,2.38
S26061300006,06/08/2015,9,2.38
S25865600086,05/27/2015,9,2.38
S26275400044,06/18/2015,10.5,2.77
S26521000021,06/30/2015,2.25,0.59
S23938000015,02/09/2015,1.5,0.4
S27246400009,08/11/2015,9,2.38
S26026100015,06/04/2015,10.5,2.77
S28088300063,09/23/2015,12,3.17
S25097400115,04/15/2015,0.5,0.13
S23900500006,02/11/2015,12,3.17
S25485900002,05/06/2015,0.6,0.16
S27629600170,08/31/2015,2.25,0.59
S29161100031,11/18/2015,21,5.55
S28625400020,10/22/2015,0.5,0.13
S24235400090,02/25/2015,1.5,0.4
S24951000015,04/08/2015,9,2.38
S25292100040,04/27/2015,3,0.79
S27447400076,08/20/2015,18,4.76
S23997700075,02/11/2015,9,2.38
S25890100025,05/28/2015,0.5,0.13
S24176600164,02/23/2015,9,2.38
S26867100036,07/21/2015,2.25,0.59
S26019000023,06/04/2015,1.2,0.32
S26997500008,07/28/2015,9,2.38
S24516900018,03/16/2015,168,44.38
S24891000032,04/06/2015,1.5,0.4
S28331800081,10/07/2015,9,2.38
S24346500042,03/05/2015,36,9.51
S28866600049,11/04/2015,0.75,0.2
S27363300096,08/17/2015,1.5,0.4
S23627100049,01/22/2015,9,2.38
S27027600033,07/29/2015,2.25,0.59
S26865200098,07/21/2015,0.5,0.13
S26508800248,06/30/2015,4.5,1.19
S26022900021,06/04/2015,1.5,0.4
S27320300070,08/13/2015,1.5,0.4
S24407800016,03/09/2015,4.5,1.19
S23497600011,01/14/2015,3.75,0.99
S25633900026,05/14/2015,10.5,2.77
S24197900022,02/24/2015,10.5,2.77
S23458600047,01/13/2015,1.5,0.4
S28476500066,10/15/2015,0.75,0.2
S24398300128,03/09/2015,1.5,0.4
S24737400008,03/26/2015,9,2.38
S25018800018,04/13/2015,4.5,1.19
S25898000098,05/28/2015,0.75,0.2
S23868700216,02/04/2015,2.25,0.59
S27035100021,07/29/2015,5.25,1.39
S27194800043,08/06/2015,2.25,0.59
S23660500056,01/26/2015,9,2.38
S26147000038,06/11/2015,1,0.26
S27889700120,09/14/2015,4.5,1.19
S25703300091,05/18/2015,2.25,0.59
S25968500066,06/02/2015,1.5,0.4
S29360700038,11/30/2015,9,2.38
S24874300032,04/02/2015,0.5,0.13
S26329700041,06/22/2015,1.12,0.3
S23302300074,01/05/2015,0.5,0.13
S25576300120,05/11/2015,6,1.59
S27191900019,08/06/2015,10.5,2.77
S25929600157,06/01/2015,9,2.38
S27085100012,08/03/2015,4.8,1.27
S23896500084,02/05/2015,1.75,0.46
S24753300134,03/26/2015,0.5,0.13
S23499300179,01/14/2015,9,2.38
S27495600096,08/24/2015,5,1.32
S25440500183,05/04/2015,1,0.26
S23632100001,01/22/2015,9,2.38
S25376300029,04/29/2015,52.5,13.87
S29294300008,11/24/2015,1.5,0.4
S28110700083,09/24/2015,4.5,1.19
S29247200143,11/23/2015,1.5,0.4
S26074600116,06/08/2015,2.25,0.59
S26961400001,07/27/2015,0.75,0.2
S28004800020,09/21/2015,9,2.38
S26649000021,07/09/2015,0.75,0.2
S26883600083,07/21/2015,0.75,0.2
